date,account,trades_count,net_pnl,avg_pnl,total_volume,profitable_trades,win_rate,profitable_day,value,classification,sentiment_numeric
2024-04-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,8,0.0,0.0,599.37,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,27,0.0,0.0,135069.22,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1,0.0,0.0,35004.98,0,0.0,0,80.0,Extreme Greed,4.0
2024-04-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,33,1065.7851,32.2965,96475.99,5,0.15151515151515152,1,80.0,Extreme Greed,4.0
2024-04-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,0.0,0.34,0,0.0,0,78.0,Extreme Greed,4.0
2024-04-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,10,540.0591,54.0059,19601.33,10,1.0,1,76.0,Extreme Greed,4.0
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,26,2259.3514,86.8981,432210.64,13,0.5,1,76.0,Extreme Greed,4.0
2024-04-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,112,9066.1696,80.9479,18567.68,60,0.5357142857142857,1,79.0,Extreme Greed,4.0
2024-04-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,36,4232.2067,117.5613,102111.17,24,0.6666666666666666,1,79.0,Extreme Greed,4.0
2024-04-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,102,910.5848,8.9273,81173.16,14,0.13725490196078433,1,79.0,Extreme Greed,4.0
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,13,291.3527,22.4117,261052.42,3,0.23076923076923078,1,79.0,Extreme Greed,4.0
2024-04-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,10,33.2614,3.3261,6696.09,2,0.2,1,79.0,Extreme Greed,4.0
2024-04-12,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,1,0.0,0.0,0.1,0,0.0,0,79.0,Extreme Greed,4.0
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,28,13238.0882,472.7889,13238.1,28,1.0,1,79.0,Extreme Greed,4.0
2024-05-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,66,164.1416,2.487,1703942.66,13,0.19696969696969696,1,54.0,Neutral,2.0
2024-05-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,72,-33.4542,-0.4646,770198.26,14,0.19444444444444445,0,43.0,Fear,1.0
2024-05-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,180,19791.026,109.9501,841810.32,163,0.9055555555555556,1,48.0,Neutral,2.0
2024-05-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,4444.4983,444.4498,172531.57,7,0.7,1,67.0,Greed,3.0
2024-05-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,82,5296.4338,64.5907,305295.15,75,0.9146341463414634,1,67.0,Greed,3.0
